Month,flights,can_rate
1,207605,0.06920353556031887
2,195645,0.08206189782514248
3,207057,0.0594135914265154
4,193738,0.03887208498074719
5,197939,0.027730765538878138
6,199699,0.049123931516932985
7,205536,0.045091857387513624
8,201651,0.04099657328751159
9,174747,0.03471876484288715
10,176549,0.01663560824473659
11,171588,0.023439867589808146
12,187858,0.07504604541728327
