Roswell Industrial Air Center,376
Sacramento International,14091
Salt Lake City Intl,51591
San Angelo Regional /Mathis,337
San Antonio International,15923
San Diego International-Lindbergh,22835
San Francisco International,37109
San Jose International,14446
San Luis Obispo Co-McChesney,1859
Santa Barbara Municipal,3353
Santa Maria Pub/Capt G Allan Hancock,394
Sarasota Bradenton International,3541
Savannah International,5618
Seattle-Tacoma Intl,30880
Sheppard AFB/Wichita Falls Municipal,329
Shreveport Regional,2217
Sioux Gateway,107
Sitka,890
South Bend Regional,2062
Southeast Texas Regional,264
Southwest Florida International,12687
Southwest Georgia Regional,381
Spokane Intl,6866
Springfield-Branson Regional,3805
St George Muni,761
Stewart,2579
Syracuse-Hancock Intl,6057
Tallahassee Regional,2518
Tampa International,28714
Ted Stevens Anchorage International,7886
Telluride Regional,113
Texarkana Regional-Webb,411
Theodore F Green State,8240
Toledo Express,571
Tompkins Cty,132
Tri-Cities,756
Tri-Cities Regional,668
Tri-State/Walker-Long,93
Tucson International,10363
Tulsa International,9627
Tupelo Municipal,7
Tyler Pounds,403
University Park,516
University of Illinois-Willard,834
Valdosta Regional,381
Valley International,1467
Waco Regional,420
Walker,1816
Washington Dulles International,31103
Waterloo Municipal,323
Westchester Cty,4805
Wichita Mid-Continent,5208
Wiley Post Will Rogers Memorial,728
Wilkes-Barre/Scranton Intl,1523
Will Rogers World,11423
William B Hartsfield-Atlanta Intl,114718
William P Hobby,13141
Wilmington International,1334
Wrangell,727
Yakima Air Terminal,239
Yakutat,725
Yampa Valley,1488
Yeager,1648
Yellowstone,116
Yellowstone Regional,852
Yuma MCAS-Yuma International,1333
